SIZE:100, AVG, BUBBLESORT, 0.0001006
SIZE:100, BEST, BUBBLESORT, 4e-07
SIZE:100, WORST, BUBBLESORT, 0.0001255
SIZE:100, AVG, INSERTIONSORT, 4.04e-05
SIZE:100, BEST, INSERTIONSORT, 2e-06
SIZE:100, WORST, INSERTIONSORT, 7.55e-05
SIZE:100, AVG, SELECTIONNSORT, 4.54e-05
SIZE:100, BEST, SELECTIONSORT, 3.97e-05
SIZE:100, WORST, SELECTIONNSORT, 4.56e-05
SIZE:100, AVG, QUICKSORT, 0.0005461
SIZE:100, BEST, QUICKSORT, 0.0003447
SIZE:100, WORST, QUICKSORT, 0.0003438
SIZE:100, AVG, BUBBLESORT, 0.000109
SIZE:100, BEST, BUBBLESORT, 4e-07
SIZE:100, WORST, BUBBLESORT, 0.0001249
SIZE:100, AVG, INSERTIONSORT, 3.65e-05
SIZE:100, BEST, INSERTIONSORT, 2.9e-06
SIZE:100, WORST, INSERTIONSORT, 7.56e-05
SIZE:100, AVG, SELECTIONNSORT, 4.49e-05
SIZE:100, BEST, SELECTIONSORT, 4.1e-05
SIZE:100, WORST, SELECTIONNSORT, 6.41e-05
SIZE:100, AVG, QUICKSORT, 0.0005578
SIZE:100, BEST, QUICKSORT, 0.0004648
SIZE:100, WORST, QUICKSORT, 0.0003445
SIZE:100, AVG, BUBBLESORT, 0.0001142
SIZE:100, BEST, BUBBLESORT, 5e-07
SIZE:100, WORST, BUBBLESORT, 0.0001748
SIZE:100, AVG, INSERTIONSORT, 4.63e-05
SIZE:100, BEST, INSERTIONSORT, 2.1e-06
SIZE:100, WORST, INSERTIONSORT, 7.67e-05
SIZE:100, AVG, SELECTIONNSORT, 4.53e-05
SIZE:100, BEST, SELECTIONSORT, 3.97e-05
SIZE:100, WORST, SELECTIONNSORT, 4.47e-05
SIZE:100, AVG, QUICKSORT, 0.0006427
SIZE:100, BEST, QUICKSORT, 0.0003401
SIZE:100, WORST, QUICKSORT, 0.0003388
SIZE:100, AVG, BUBBLESORT, 0.0001414
SIZE:100, BEST, BUBBLESORT, 4e-07
SIZE:100, WORST, BUBBLESORT, 0.0001255
SIZE:100, AVG, INSERTIONSORT, 4.29e-05
SIZE:100, BEST, INSERTIONSORT, 2e-06
SIZE:100, WORST, INSERTIONSORT, 7.53e-05
SIZE:100, AVG, SELECTIONNSORT, 4.54e-05
SIZE:100, BEST, SELECTIONSORT, 3.96e-05
SIZE:100, WORST, SELECTIONNSORT, 4.36e-05
SIZE:100, AVG, QUICKSORT, 0.0005904
SIZE:100, BEST, QUICKSORT, 0.0003637
SIZE:100, WORST, QUICKSORT, 0.0003473
SIZE:100, AVG, BUBBLESORT, 0.0001139
SIZE:100, BEST, BUBBLESORT, 5e-07
SIZE:100, WORST, BUBBLESORT, 0.0001432
SIZE:100, AVG, INSERTIONSORT, 5.07e-05
SIZE:100, BEST, INSERTIONSORT, 2.1e-06
SIZE:100, WORST, INSERTIONSORT, 7.55e-05
SIZE:100, AVG, SELECTIONNSORT, 4.5e-05
SIZE:100, BEST, SELECTIONSORT, 5.76e-05
SIZE:100, WORST, SELECTIONNSORT, 7.58e-05
SIZE:100, AVG, QUICKSORT, 0.0007424
SIZE:100, BEST, QUICKSORT, 0.0003704
SIZE:100, WORST, QUICKSORT, 0.000387
SIZE:100, AVG, BUBBLESORT, 0.0001168
SIZE:100, BEST, BUBBLESORT, 5e-07
SIZE:100, WORST, BUBBLESORT, 0.000125
SIZE:100, AVG, INSERTIONSORT, 3.95e-05
SIZE:100, BEST, INSERTIONSORT, 1.9e-06
SIZE:100, WORST, INSERTIONSORT, 7.51e-05
SIZE:100, AVG, SELECTIONNSORT, 4.47e-05
SIZE:100, BEST, SELECTIONSORT, 3.93e-05
SIZE:100, WORST, SELECTIONNSORT, 4.44e-05
SIZE:100, AVG, QUICKSORT, 0.0005442
SIZE:100, BEST, QUICKSORT, 0.0003418
SIZE:100, WORST, QUICKSORT, 0.0003399
SIZE:100, AVG, BUBBLESORT, 0.0001124
SIZE:100, BEST, BUBBLESORT, 4e-07
SIZE:100, WORST, BUBBLESORT, 0.0001251
SIZE:100, AVG, INSERTIONSORT, 3.95e-05
SIZE:100, BEST, INSERTIONSORT, 1.7e-06
SIZE:100, WORST, INSERTIONSORT, 7.51e-05
SIZE:100, AVG, SELECTIONNSORT, 4.49e-05
SIZE:100, BEST, SELECTIONSORT, 3.94e-05
SIZE:100, WORST, SELECTIONNSORT, 4.27e-05
SIZE:100, AVG, QUICKSORT, 0.0005696
SIZE:100, BEST, QUICKSORT, 0.0003362
SIZE:100, WORST, QUICKSORT, 0.0003358
SIZE:100, AVG, BUBBLESORT, 0.0001036
SIZE:100, BEST, BUBBLESORT, 4e-07
SIZE:100, WORST, BUBBLESORT, 0.000125
SIZE:100, AVG, INSERTIONSORT, 4.47e-05
SIZE:100, BEST, INSERTIONSORT, 1.8e-06
SIZE:100, WORST, INSERTIONSORT, 7.54e-05
SIZE:100, AVG, SELECTIONNSORT, 4.46e-05
SIZE:100, BEST, SELECTIONSORT, 3.94e-05
SIZE:100, WORST, SELECTIONNSORT, 4.28e-05
SIZE:100, AVG, QUICKSORT, 0.0005693
SIZE:100, BEST, QUICKSORT, 0.0003449
SIZE:100, WORST, QUICKSORT, 0.0003383
SIZE:100, AVG, BUBBLESORT, 0.0001107
SIZE:100, BEST, BUBBLESORT, 4e-07
SIZE:100, WORST, BUBBLESORT, 0.0001249
SIZE:100, AVG, INSERTIONSORT, 4.21e-05
SIZE:100, BEST, INSERTIONSORT, 1.8e-06
SIZE:100, WORST, INSERTIONSORT, 7.49e-05
SIZE:100, AVG, SELECTIONNSORT, 4.46e-05
SIZE:100, BEST, SELECTIONSORT, 4.51e-05
SIZE:100, WORST, SELECTIONNSORT, 4.54e-05
SIZE:100, AVG, QUICKSORT, 0.0005246
SIZE:100, BEST, QUICKSORT, 0.000339
SIZE:100, WORST, QUICKSORT, 0.0003385
SIZE:100, AVG, BUBBLESORT, 0.0001168
SIZE:100, BEST, BUBBLESORT, 4e-07
SIZE:100, WORST, BUBBLESORT, 0.0001248
SIZE:100, AVG, INSERTIONSORT, 3.87e-05
SIZE:100, BEST, INSERTIONSORT, 1.7e-06
SIZE:100, WORST, INSERTIONSORT, 7.52e-05
SIZE:100, AVG, SELECTIONNSORT, 4.46e-05
SIZE:100, BEST, SELECTIONSORT, 3.95e-05
SIZE:100, WORST, SELECTIONNSORT, 4.36e-05
SIZE:100, AVG, QUICKSORT, 0.0005695
SIZE:100, BEST, QUICKSORT, 0.000337
SIZE:100, WORST, QUICKSORT, 0.0003666
SIZE:100, AVG, BUBBLESORT, 0.0001055
SIZE:100, BEST, BUBBLESORT, 5e-07
SIZE:100, WORST, BUBBLESORT, 0.0001248
SIZE:100, AVG, INSERTIONSORT, 4.07e-05
SIZE:100, BEST, INSERTIONSORT, 1.7e-06
SIZE:100, WORST, INSERTIONSORT, 7.52e-05
SIZE:100, AVG, SELECTIONNSORT, 4.57e-05
SIZE:100, BEST, SELECTIONSORT, 3.94e-05
SIZE:100, WORST, SELECTIONNSORT, 4.24e-05
SIZE:100, AVG, QUICKSORT, 0.0006348
SIZE:100, BEST, QUICKSORT, 0.0003735
SIZE:100, WORST, QUICKSORT, 0.0004053
SIZE:100, AVG, BUBBLESORT, 0.0001193
SIZE:100, BEST, BUBBLESORT, 4e-07
SIZE:100, WORST, BUBBLESORT, 0.0001272
SIZE:100, AVG, INSERTIONSORT, 4.02e-05
SIZE:100, BEST, INSERTIONSORT, 2e-06
SIZE:100, WORST, INSERTIONSORT, 7.65e-05
SIZE:100, AVG, SELECTIONNSORT, 4.66e-05
SIZE:100, BEST, SELECTIONSORT, 3.96e-05
SIZE:100, WORST, SELECTIONNSORT, 4.25e-05
SIZE:100, AVG, QUICKSORT, 0.0005951
SIZE:100, BEST, QUICKSORT, 0.0003509
SIZE:100, WORST, QUICKSORT, 0.0003582
SIZE:100, AVG, BUBBLESORT, 0.000115
SIZE:100, BEST, BUBBLESORT, 4e-07
SIZE:100, WORST, BUBBLESORT, 0.0001256
SIZE:100, AVG, INSERTIONSORT, 3.68e-05
